DATE,CLOSE,VOLUME
2015.10.14,27.55,1575424960000
2015.10.15,27.96,1318673680000
2015.10.16,27.76,1256380600000
2015.10.19,27.93,999576480000
2015.10.20,28.45,1723147000000
2015.10.21,28.44,1457768160000
2015.10.22,28.88,1429300560000
2015.10.23,29.77,2044581000000
2015.10.26,28.81,1488245600000
2015.10.27,29.15,1723936840000
2015.10.28,29.78,2087391640000
2015.10.29,30.17,1345182680000
2015.10.30,29.81,1258789680000
2015.11.02,30.30,1126949280000
2015.11.03,30.65,1557774400000
2015.11.04,30.50,1509216560000
2015.11.05,30.23,1351988240000
2015.11.06,30.27,1086546800000
2015.11.09,30.15,1066013160000
2015.11.10,29.20,1993325920000
2015.11.11,29.03,1641036240000
2015.11.12,28.94,1133106240000
2015.11.13,28.08,1580502160000
2015.11.16,28.55,1260961040000
2015.11.17,28.42,948883800000
2015.11.18,29.32,1605187920000
2015.11.19,29.70,1486770440000
2015.11.20,29.83,1066707680000
2015.11.23,29.44,1029596000000
2015.11.24,29.73,1312377960000
2015.11.25,29.51,701633200000
2015.11.27,29.45,439552800000
2015.11.30,29.59,1101993360000
2015.12.01,29.32,1180777080000
2015.12.02,29.08,1087753080000
2015.12.03,28.80,1334528160000
2015.12.04,29.75,1916145720000
2015.12.07,29.57,1104085920000
2015.12.08,29.56,1140397440000
2015.12.09,28.91,1454026560000
2015.12.10,29.05,984029360000
2015.12.11,28.29,1524294920000
2015.12.14,28.12,2200685400000
2015.12.15,27.62,1829618800000
2015.12.16,27.84,1969460640000
2015.12.17,27.25,1546445440000
2015.12.18,26.47,2157764680000
2015.12.21,26.83,1498770840000
2015.12.22,26.80,1092768920000
2015.12.23,27.15,1035002120000
2015.12.24,27.00,451957320000
2015.12.28,26.71,896008960000
2015.12.29,27.19,1052346720000
2015.12.30,26.83,815695520000
2015.12.31,26.31,1360147600000
2016.01.04,26.33,1878754360000
2016.01.05,25.68,1876912520000
2016.01.06,25.18,2367768400000
2016.01.07,24.14,2675002520000
2016.01.08,24.25,2361188120000
2016.01.11,24.63,1674919600000
2016.01.12,24.99,1640179960000
2016.01.13,24.35,2201238520000
2016.01.14,24.88,2172495280000
2016.01.15,24.27,2378405440000
2016.01.19,24.17,1711226360000
2016.01.20,24.20,2485094760000
2016.01.21,24.07,1700722160000
2016.01.22,25.36,2273282920000
2016.01.25,24.87,1641162120000
2016.01.26,25.00,2190004960000
2016.01.27,23.36,4717861960000
2016.01.28,23.52,1944720360000
2016.01.29,24.29,2015713440000
2016.02.01,24.10,1363598640000
2016.02.02,23.62,1236678480000
2016.02.03,24.09,1550880080000
2016.02.04,24.15,1366411360000
